[2026-06-20 17:51:00.907] [INFO] Logger initialized
[2026-06-20 17:51:00.909] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 17:51:00.936] [EVT.SPAWN] Boar at (5812,2562)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Boar at (1168,1715)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Jellyfish at (4033,1055)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Raccoon at (4962,2042)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Bear at (5643,29)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Butterfly at (1469,2650)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Raccoon at (4079,2780)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Jellyfish at (5315,167)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Frog at (480,4206)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Bear at (5271,1780)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Beetle at (3948,570)
[2026-06-20 17:51:00.940] [EVT.ECO] Initialized: P=150 H=60 C=20 O=15 | Total=245
[2026-06-20 17:51:02.990] [EVT.STATS] T=0,3s P=150 H=60 C=20 O=15 Total=245
[2026-06-20 17:51:03.760] [EVT.SPAWN] Pine at (1087,2696)
[2026-06-20 17:51:04.066] [EVT.SPAWN] Pine at (4189,1424)
[2026-06-20 17:51:04.066] [EVT.SPAWN] Moss at (4814,3926)
[2026-06-20 17:51:04.257] [EVT.SPAWN] Mushroom at (5001,2598)
[2026-06-20 17:51:04.257] [EVT.SPAWN] PineTree at (2038,3134)
[2026-06-20 17:51:04.356] [EVT.SPAWN] Grass at (628,2621)
[2026-06-20 17:51:04.356] [EVT.SPAWN] Plant at (776,172)
[2026-06-20 17:51:04.457] [EVT.SPAWN] Mushroom at (3505,1077)
[2026-06-20 17:51:04.457] [EVT.SPAWN] BerryBush at (3438,2260)
[2026-06-20 17:51:04.556] [EVT.SPAWN] Pine at (1190,4541)
[2026-06-20 17:51:04.656] [EVT.SPAWN] Plant at (1247,742)
